,start,end,capital_start,capital_end,capital_change,capital_change_pct,intervals,trades_total,trades_won,trades_won_rate,trades_lost,trades_lost_rate,trades_skipped,hold_units,hold_start_buy,hold_end_buy,hold_change,hold_change_pct,better_strategy
IVV.AX,2022-03-01 00:00:00,2022-04-14 16:10:00,2000,1967.1800537109375,-32.8199462890625,-1.6,5m,8,1,12.5,7,87.5,22,3,609.780029296875,597.3099975585938,-37.41009521484375,-2.0,macd
BHP.AX,2022-03-01 00:00:00,2022-04-14 16:10:00,2000,2185.8100204467773,185.81002044677734,9.3,5m,14,7,50.0,7,50.0,24,42,47.36000061035156,52.5,215.87997436523438,10.9,hold
ACN,2022-03-01 00:00:00,2022-04-14 16:00:00,2000,2010.8535766601562,10.85357666015625,0.5,5m,19,7,36.8,12,63.2,33,6,331.17999267578125,319.4700012207031,-70.25994873046875,-3.5,macd
AAPL,2022-03-01 00:00:00,2022-04-14 16:00:00,2000,2031.3536987304688,31.35369873046875,1.6,5m,14,4,28.6,10,71.4,31,11,171.44110107421875,165.2899932861328,-67.66218566894531,-3.6,macd
MSFT,2022-03-01 00:00:00,2022-04-14 16:00:00,2000,2041.0102233886719,41.010223388671875,2.1,5m,16,5,31.2,11,68.8,29,6,296.2099914550781,279.8299865722656,-98.280029296875,-5.5,macd
RIO,2022-03-01 00:00:00,2022-04-14 16:00:00,2000,2138.257926940918,138.25792694091797,6.9,5m,16,7,43.8,9,56.2,33,25,77.29000091552734,81.87000274658203,114.50004577636719,5.9,macd
